"Enable Toast Message","Habilitar Toast Message"
"General Options","Opções Gerais"
"Success Message Options","Conf. Mensagem de Sucesso"
Position,"Posição"
"Default Bottom Center","Padrão Bottom Center"
"Background Color","Cor do Fundo"
"Default Green: #e5efe5","Padrão Verde: #e5efe5"
"Font Color","Cor da Fonte"
"Default Green: #006400","Padrão Verde: #006400"
"Display Icon","Mostrar Ícone"
"Notice Message Options","Conf. Mensagem de Notificação"
"Default Brown: #e5efe5","Padrão Marrom: #e5efe5"
"Default Brown: #6f4400","Padrão Marrom: #6f4400"
"Warning Message Options","Conf. Mensagem de Alerta"
"Default Yellow: #fdf0d5","Padrão Amarelo: #fdf0d5"
"Default Yellow: #6f4400","Padrão Amarelo: #6f4400"
"Error Message Options","Conf. Mensagem de Erro"
"Default Red: #fae5e5","Padrão Vermelho: #fae5e5"
"Default Red: #e02b27","Padrão Vermelho: #e02b27"
"Info Message Options","Conf. Mensagem de Informação"
"Default Blue: #fdf0d5","Padrão Azul: #fdf0d5"
"Default Blue: #6f4400","Padrão Azul: #6f4400"
